time_s,truth,sensor_1,sensor_2,sensor_3,estimate,mode
22.9,21.5046611528,31.4992445072,21.3567996553,21.4341867932,21.4341867932,1
23,21.4914104244,31.4470647282,21.6315143826,21.1722831887,21.6315143826,1
23.1,21.4780105561,31.2705693878,21.4023891058,21.9844717227,21.9844717227,1
23.2,21.4644628881,31.6555986666,21.4421725522,21.6068628045,21.6068628045,1
23.3,21.4507687749,31.8622560089,21.4040199896,21.3774861061,21.4040199896,1
23.4,21.4369295861,31.6793182948,21.5357646858,21.5711962172,21.5711962172,1
23.5,21.4229467056,31.3213022257,21.8077873321,21.7648648659,21.8077873321,1
23.6,21.4088215315,31.5220110893,21.5456794992,21.0033693571,21.5456794992,1
23.7,21.3945554765,31.5220974352,21.3557337591,21.4813366177,21.4813366177,1
23.8,21.3801499671,31.5166418495,21.3118916135,21.0420536071,21.3118916135,1
23.9,21.3656064439,31.4391813569,21.2173297134,21.2995676253,21.2995676253,1
24,21.3509263611,31.2300243923,21.2826115101,20.8890221696,21.2826115101,1
24.1,21.3361111868,31.5795006123,21.3867804073,21.5583910394,21.5583910394,1
24.2,21.3211624026,31.7171307685,21.3256810271,20.9606751514,21.3256810271,1
24.3,21.3060815031,31.1273041331,21.064700607,21.2057065745,21.2057065745,1
24.4,21.2908699967,31.3067995923,20.8904325433,21.3593650953,21.3593650953,1
24.5,21.2755294043,30.9734580736,21.3350024568,21.2536311752,21.3350024568,1
24.6,21.26006126,31.1973350122,21.2454526488,21.1521056568,21.2454526488,1
24.7,21.2444671106,31.121972822,20.9079158325,21.2385416477,21.2385416477,1
24.8,21.2287485156,31.5978552577,21.6248475282,21.4931120349,21.6248475282,1
24.9,21.2129070468,31.3540673669,21.0776110219,21.5014572044,21.5014572044,1
25,21.1969442882,31.1857187773,21.1831691863,21.1386988618,21.1831691863,1
25.1,21.1808618362,31.199254216,21.0938188559,21.1641054024,21.1641054024,1
25.2,21.164661299,30.9477414773,21.0899285581,21.620772593,21.620772593,1
25.3,21.1483442967,31.1344254911,21.1006121838,21.2548191525,21.2548191525,1
25.4,21.1319124609,31.2735368252,20.9091586891,21.0904807043,21.0904807043,1
25.5,21.1153674348,31.299022603,21.1693349606,21.1397582435,21.1693349606,1
25.6,21.0987108729,31.4095144066,20.9631563209,21.1152600519,21.1152600519,1
25.7,21.0819444408,30.9779327077,21.3800060866,20.6915723609,21.3800060866,1
25.8,21.0650698151,30.931041476,20.9592384219,21.1977777397,21.1977777397,1
25.9,21.0480886834,31.1693437786,21.3271275354,20.7332821149,21.3271275354,1
26,21.0310027436,31.1810977454,20.9723467708,20.8978776962,20.9723467708,1
26.1,21.0138137045,31.1217274112,20.8297857879,20.5984310454,20.8297857879,1
26.2,20.9965232848,30.922479587,20.6969691145,20.8667401206,20.8667401206,1
