time_s,temperature_k,analytic_temperature_k,heat_flow_w
3024,92.184389786,92.1843897841,139.07805107
3048,92.2010741464,92.2010741444,138.994629268
3072,92.2177484991,92.2177484971,138.911257505
3096,92.2344128502,92.2344128482,138.827935749
3120,92.2510672057,92.2510672037,138.744663972
3144,92.2677115715,92.2677115696,138.661442142
3168,92.2843459538,92.2843459518,138.578270231
3192,92.3009703583,92.3009703564,138.495148208
3216,92.3175847913,92.3175847894,138.412076044
3240,92.3341892585,92.3341892567,138.329053707
3264,92.3507837661,92.3507837643,138.24608117
3288,92.3673683199,92.3673683181,138.1631584
3312,92.383942926,92.3839429243,138.08028537
3336,92.4005075903,92.4005075886,137.997462049
3360,92.4170623188,92.4170623171,137.914688406
3384,92.4336071174,92.4336071158,137.831964413
3408,92.4501419921,92.4501419906,137.74929004
3432,92.4666669488,92.4666669474,137.666665256
3456,92.4831819936,92.4831819922,137.584090032
3480,92.4996871323,92.499687131,137.501564339
3504,92.5161823709,92.5161823697,137.419088146
3528,92.5326677153,92.5326677141,137.336661424
3552,92.5491431714,92.5491431704,137.254284143
3576,92.5656087453,92.5656087443,137.171956274
3600,92.5820644428,92.5820644419,137.089677786
3624,92.5985102698,92.598510269,137.007448651
3648,92.6149462323,92.6149462315,136.925268839
3672,92.6313723361,92.6313723355,136.843138319
3696,92.6477885873,92.6477885867,136.761057064
3720,92.6641949916,92.6641949911,136.679025042
3744,92.6805915551,92.6805915547,136.597042224
3768,92.6969782836,92.6969782832,136.515108582
3792,92.713355183,92.7133551827,136.433224085
3816,92.7297222592,92.729722259,136.351388704
3840,92.7460795181,92.7460795179,136.269602409
3864,92.7624269657,92.7624269655,136.187865172
3888,92.7787646076,92.7787646075,136.106176962
3912,92.79509245,92.7950924499,136.02453775
3936,92.8114104986,92.8114104986,135.942947507
3960,92.8277187593,92.8277187593,135.861406204
3984,92.844017238,92.844017238,135.77991381
4008,92.8603059405,92.8603059406,135.698470298
4032,92.8765848727,92.8765848728,135.617075636
4056,92.8928540405,92.8928540407,135.535729797
4080,92.9091134498,92.9091134499,135.454432751
4104,92.9253631063,92.9253631065,135.373184468
4128,92.941603016,92.9416030162,135.29198492
