time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
439.310546767,6133422.41628,3206475.75094,0,-3515.95072381,6725.39344114,0,0.000360713905235
448.860776045,6099508.59528,3270527.81341,0,-3586.18481023,6688.20640656,0,0.00067507100559
458.411005323,6064925.89438,3334221.22561,0,-3656.02563107,6650.28593479,0,0.000921700745928
467.9612346,6029678.10588,3397549.00283,0,-3725.4655275,6611.63618424,0,0.00103239303979
477.511463878,5993769.09506,3460504.20043,0,-3794.49688463,6572.2613933,0,0.000957412103237
487.061693155,5957202.79975,3523079.91466,0,-3863.1121324,6532.16587987,0,0.000692565666844
496.611922433,5919983.22991,3585269.28344,0,-3931.3037464,6491.35404085,0,0.000315484277025
506.16215171,5882114.46729,3647065.48707,0,-3999.06424864,6449.8303517,0,3.20244669919e-05
515.712380988,5843600.66476,3708461.74899,0,-4066.38620843,6407.59936594,0,6.23335562846e-06
525.262610265,5804446.04557,3769451.33628,0,-4133.26224316,6364.66571469,0,2.8904309872e-05
534.812839543,5764654.90347,3830027.56077,0,-4199.68501911,6321.03410612,0,3.67642463214e-05
544.363068821,5724231.60201,3890183.77959,0,-4265.64725226,6276.70932493,0,2.79906955253e-05
553.913298098,5683180.57406,3949913.39592,0,-4331.14170913,6231.69623183,0,2.26186439752e-05
563.463527376,5641506.32128,4009209.85971,0,-4396.1612075,6185.99976302,0,4.05108247064e-05
573.013756653,5599213.41374,4068066.66845,0,-4460.69861725,6139.62492964,0,9.45391969598e-05
582.563985931,5556306.48933,4126477.36781,0,-4524.74686113,6092.5768172,0,0.000182766421432
592.114215208,5512790.25327,4184435.55241,0,-4588.29891552,6044.86058506,0,0.000289151651807
601.664444486,5468669.47765,4241934.86651,0,-4651.34781123,5996.48146584,0,0.000387359463571
611.214673763,5423949.00083,4298969.00467,0,-4713.88663424,5947.44476484,0,0.000446292712952
620.764903041,5378633.72692,4355531.71248,0,-4775.90852646,5897.75585949,0,0.000436939452857
630.315132318,5332728.62529,4411616.78721,0,-4837.4066865,5847.42019874,0,0.000339483965021
639.865361596,5286238.72994,4467218.0785,0,-4898.37437038,5796.44330245,0,0.000150015606019
649.415590874,5239169.139,4522329.48904,0,-4958.80489231,5744.83076082,0,0.000121450115416
658.965820151,5191525.01416,4576944.97521,0,-5018.69162541,5692.58823375,0,0.000428999826159
668.516049429,5143311.58009,4631058.54778,0,-5078.02800241,5639.72145023,0,0.000723734171658
678.066278706,5094534.12389,4684664.27254,0,-5136.80751642,5586.23620771,0,0.000938311986726
687.616507984,5045197.99449,4737756.27098,0,-5195.02372159,5532.13837146,0,0.00100869723954
697.166737261,4995308.60214,4790328.72093,0,-5252.67023387,5477.43387393,0,0.000893880256973
706.716966539,4944871.41778,4842375.85725,0,-5309.74073166,5422.12871407,0,0.000604545777236
716.267195816,4893891.97248,4893891.97243,0,-5366.22895654,5366.22895671,0,0.000240996848699
725.817425094,4842375.8569,4944871.41732,0,-5422.12871394,5309.74073185,0,4.22600012594e-05
735.367654372,4790328.72039,4995308.60145,0,-5477.43387384,5252.67023406,0,2.62385297944e-05
744.917883649,4737756.27034,5045197.9937,0,-5532.13837139,5195.02372178,0,2.50430850049e-05
754.468112927,4684664.27194,5094534.12315,0,-5586.23620763,5136.8075166,0,2.6545878521e-05
764.018342204,4631058.54733,5143311.57953,0,-5639.72145011,5078.0280026,0,2.45540550294e-05
773.568571482,4576944.97495,5191525.01383,0,-5692.58823359,5018.6916256,0,2.51258481674e-05
