time_s,true_position_m,measurement_m,estimated_position_m,estimated_velocity_mps,position_sigma_m
52.6,273.787155675,268.218311379,274.764799198,3.39071389036,1.30000154391
52.8,274.436986251,273.401192337,275.315800883,3.44123867745,1.27491638058
53,275.097145538,279.688524742,276.24067327,3.51757548675,1.25198876783
53.2,275.768200597,277.117388743,276.960296768,3.57802859472,1.23097601284
53.4,276.450834164,277.060604382,277.645371291,3.63490480834,1.21167336945
53.6,277.146166472,284.916254815,278.751052006,3.72147436392,1.19390665058
53.8,277.852967983,274.464104185,279.221869792,3.75978918077,1.17752651
54,278.568709193,278.982438668,279.925789517,3.81437210809,1.1624039665
54.2,279.295840334,276.695547008,280.483517913,3.85666348748,1.14842686444
54.4,280.031899696,287.483440841,281.581559964,3.93883067804,1.13549704887
54.6,280.780247843,271.020945847,281.801749069,3.95193495806,1.12352809164
54.8,281.546346441,278.195637963,282.379888108,3.99163763312,1.11244344692
55,282.325705693,279.679920863,283.013558271,4.03428606323,1.10217494442
55.2,283.116819404,286.43451752,283.950526773,4.09953403103,1.09266155049
55.4,283.921233245,286.952610626,284.878179066,4.16237879848,1.08384834356
55.6,284.732027908,291.707999209,285.99337338,4.23873725271,1.07568566231
55.8,285.548788324,277.678624112,286.428044857,4.25750598658,1.06812839392
56,286.376450791,290.128825836,287.41286225,4.32029881073,1.06113537692
56.2,287.214503341,285.74810402,288.169306614,4.36214525055,1.05466889797
56.4,288.060727999,284.732601812,288.856985677,4.39643137835,1.04869426655
56.6,288.914223575,291.612066242,289.82264015,4.45269394161,1.04317945407
56.8,289.776582278,285.175884364,290.4791091,4.48038600905,1.03809478699
57,290.650505183,280.265938706,290.905141314,4.48628858551,1.03341268492
57.2,291.536795265,289.68570282,291.717139874,4.52444879316,1.02910743685
57.4,292.432834441,284.943980182,292.303560324,4.54073362859,1.02515500927
57.6,293.340772828,290.096193723,293.085845078,4.57276274609,1.02153288146
57.8,294.259264108,296.117037927,294.092240715,4.62304796393,1.01821990374
58,295.184216802,296.74421553,295.092002116,4.67060113311,1.01519617524
58.2,296.112845702,304.047342947,296.358820165,4.74043370444,1.01244293827
58.4,297.048798409,296.050524674,297.259331891,4.77411091118,1.00994248687
58.6,297.997360588,290.330702635,297.897506011,4.78140913617,1.00767808737
58.8,298.956944426,295.176460143,298.708446708,4.80308389317,1.00563390925
59,299.926669226,295.329748103,299.497444947,4.8207474218,1.00379496473
59.2,300.904625488,294.815499696,300.237910657,4.83190394348,1.00214705583
59.4,301.889604285,304.06644026,301.321917228,4.87389102873,1.00067672773
59.6,302.880573465,299.654411775,302.193972994,4.89332308634,0.999371227513
59.8,303.876381552,293.989517469,302.809305068,4.88607732909,0.998218467462
60,304.877322694,308.36193671,303.971047017,4.9300106447,0.997206992197
60.2,305.886504391,305.329371547,304.974207337,4.95616359634,0.996325949046
60.4,306.904601453,308.688787844,306.075626011,4.98976024707,0.995565061141
60.6,307.92814104,308.456748764,307.130399304,5.01651946788,0.994914602793
60.8,308.954516732,312.112790403,308.292971475,5.05169657748,0.994365376765
61,309.982235488,310.172329223,309.339378684,5.07308248307,0.993908693133
61.2,311.015318144,317.196330561,310.625725632,5.11610285511,0.993536349449
61.4,312.05570163,314.18061558,311.750245269,5.14055927796,0.993240612004
61.6,313.09996642,315.060304536,312.869592521,5.16230720622,0.993014197976
61.8,314.1460551,316.195389688,313.993539243,5.18235787291,0.992850258321
62,315.191260643,307.90807193,314.750141834,5.16349315757,0.992742361287
62.2,316.235786047,315.412607288,315.768964315,5.1694929484,0.992684476423
62.4,317.283239588,315.98665714,316.771236917,5.17193351237,0.992670959027
62.6,318.332611583,319.370345189,317.867674676,5.18203055809,0.992696534955
62.8,319.38134104,312.587870219,318.655279735,5.15898297819,0.992756285747
