time_s,height_m,velocity_mps,thrust_accel_mps2
7.34,22.154369471,-5.73010202911,11.0991970839
7.36,22.0400259398,-5.70425108743,11.0948226484
7.38,21.9261985526,-5.67848763446,11.0904475178
7.4,21.8128855594,-5.65281168411,11.0860719117
7.42,21.7000852101,-5.62722324587,11.0816960469
7.44,21.5877957544,-5.60172232493,11.0773201369
7.46,21.4760154419,-5.57630892219,11.0729443925
7.48,21.3647425224,-5.55098303434,11.0685690214
7.5,21.2539752455,-5.52574465392,11.0641942283
7.52,21.1437118613,-5.50059376935,11.0598202152
7.54,21.0339506199,-5.47553036505,11.0554471811
7.56,20.9246897721,-5.45055442142,11.0510753224
7.58,20.8159275687,-5.42566591498,11.0467048322
7.6,20.7076622614,-5.40086481833,11.0423359015
7.62,20.5998921022,-5.3761511003,11.037968718
7.64,20.4926153439,-5.35152472594,11.0336034669
7.66,20.3858302401,-5.32698565661,11.0292403308
7.68,20.279535045,-5.30253384999,11.0248794896
7.7,20.1737280139,-5.2781692602,11.0205211205
7.72,20.0684074029,-5.25389183779,11.0161653981
7.74,19.9635714693,-5.22970152983,11.0118124946
7.76,19.8592184712,-5.20559827994,11.0074625794
7.78,19.7553466681,-5.18158202835,11.0031158197
7.8,19.6519543207,-5.15765271195,10.9987723799
7.82,19.5490396909,-5.13381026436,10.9944324221
7.84,19.4466010421,-5.11005461591,10.9900961061
7.86,19.344636639,-5.08638569379,10.985763589
7.88,19.2431447479,-5.06280342201,10.9814350257
7.9,19.1421236364,-5.0393077215,10.9771105687
7.92,19.0415715741,-5.01589851013,10.9727903682
7.94,18.941486832,-4.99257570276,10.9684745721
7.96,18.8418676828,-4.96933921132,10.964163326
7.98,18.7427124013,-4.9461889448,10.9598567732
8,18.6440192637,-4.92312480934,10.9555550549
8.02,18.5457865486,-4.90014670824,10.9512583099
8.04,18.448012536,-4.87725454204,10.9469666751
8.06,18.3506955085,-4.85444820854,10.942680285
8.08,18.2538337504,-4.83172760284,10.9383992719
8.1,18.1574255482,-4.8090926174,10.9341237664
8.12,18.0614691906,-4.78654314207,10.9298538966
8.14,17.9659629686,-4.76407906414,10.9255897887
8.16,17.8709051752,-4.74170026837,10.9213315668
8.18,17.7762941062,-4.71940663703,10.9170793532
8.2,17.6821280593,-4.69719804997,10.9128332679
8.22,17.588405335,-4.67507438461,10.908593429
8.24,17.495124236,-4.65303551603,10.9043599529
8.26,17.4022830676,-4.63108131697,10.9001329538
8.28,17.3098801379,-4.6092116579,10.895912544
8.3,17.2179137572,-4.58742640702,10.891698834
8.32,17.1263822389,-4.56572543033,10.8874919326
8.34,17.0352838986,-4.54410859168,10.8832919463
8.36,16.9446170552,-4.52257575276,10.8790989803
8.38,16.8543800299,-4.50112677315,10.8749131376
8.4,16.7645711471,-4.4797615104,10.8707345196
8.42,16.6751887338,-4.45847982001,10.8665632259
8.44,16.5862311201,-4.43728155549,10.8623993544
8.46,16.4976966388,-4.4161665684,10.8582430012
8.48,16.409583626,-4.39513470837,10.8540942607
8.5,16.3218904207,-4.37418582316,10.8499532257
8.52,16.2346153649,-4.35331975864,10.8458199873
8.54,16.1477568037,-4.3325363589,10.8416946348
8.56,16.0613130855,-4.3118354662,10.8375772561
8.58,15.9752825616,-4.29121692108,10.8334679374
8.6,15.8896635868,-4.27068056233,10.8293667632
8.62,15.8044545189,-4.25022622707,10.8252738167
8.64,15.7196537191,-4.22985375074,10.8211891792
8.66,15.6352595519,-4.20956296715,10.8171129308
8.68,15.5512703852,-4.18935370854,10.8130451498
8.7,15.46768459,-4.16922580554,10.8089859131
8.72,15.3845005411,-4.14917908728,10.8049352962
8.74,15.3017166164,-4.12921338136,10.800893373
8.76,15.2193311975,-4.1093285139,10.796860216
8.78,15.1373426692,-4.08952430958,10.7928358964
8.8,15.0557494202,-4.06980059165,10.7888204837
8.82,14.9745498425,-4.05015718197,10.7848140463
8.84,14.8937423316,-4.03059390105,10.7808166509
8.86,14.813325287,-4.01111056803,10.7768283632
8.88,14.7332971113,-3.99170700077,10.7728492472
8.9,14.6536562111,-3.97238301582,10.7688793657
8.92,14.5744009967,-3.95313842851,10.7649187804
8.94,14.4955298818,-3.9339730529,10.7609675512
8.96,14.4170412843,-3.91488670188,10.7570257372
8.98,14.3389336254,-3.89587918713,10.7530933959
9,14.2612053303,-3.87695031921,10.7491705838
9.02,14.1838548281,-3.85809990754,10.7452573559
9.04,14.1068805514,-3.83932776042,10.7413537661
9.06,14.0302809369,-3.8206336851,10.7374598671
9.08,13.9540544252,-3.80201748775,10.7335757104
9.1,13.8781994606,-3.78347897355,10.7297013462
9.12,13.8027144914,-3.76501794662,10.7258368237
9.14,13.7275979698,-3.74663421015,10.7219821907
9.16,13.6528483521,-3.72832756633,10.7181374942
9.18,13.5784640982,-3.71009781645,10.7143027797
9.2,13.5044436725,-3.69194476086,10.7104780919
9.22,13.4307855429,-3.67386819902,10.7066634742
9.24,13.3574881816,-3.65586792953,10.7028589689
9.26,13.2845500648,-3.63794375016,10.6990646173
9.28,13.2119696727,-3.62009545781,10.6952804597
9.3,13.1397454896,-3.60232284861,10.6915065353
9.32,13.067876004,-3.58462571791,10.6877428821
9.34,12.9963597082,-3.56700386027,10.6839895372
9.36,12.9251950989,-3.54945706952,10.6802465368
9.38,12.8543806768,-3.53198513879,10.6765139159
9.4,12.7839149468,-3.51458786047,10.6727917087
9.42,12.713796418,-3.4972650263,10.6690799483
9.44,12.6440236034,-3.48001642733,10.6653786667
9.46,12.5745950206,-3.462841854,10.6616878953
9.48,12.5055091911,-3.44574109609,10.6580076643
9.5,12.4367646407,-3.4287139428,10.6543380031
9.52,12.3683598995,-3.41176018274,10.65067894
9.54,12.3002935016,-3.39487960394,10.6470305026
9.56,12.2325639856,-3.37807199389,10.6433927174
9.58,12.1651698943,-3.36133713954,10.6397656104
9.6,12.0981097746,-3.34467482733,10.6361492062
9.62,12.0313821779,-3.32808484321,10.6325435289
9.64,11.9649856597,-3.31156697263,10.6289486017
9.66,11.89891878,-3.2951210006,10.6253644468
9.68,11.8331801029,-3.27874671166,10.6217910858
9.7,11.7677681969,-3.26244388995,10.6182285393
9.72,11.7026816348,-3.24621231916,10.6146768272
9.74,11.6379189938,-3.23005178261,10.6111359686
9.76,11.5734788553,-3.21396206324,10.6076059816
9.78,11.5093598052,-3.19794294361,10.6040868839
9.8,11.4455604337,-3.18199420593,10.6005786921
9.82,11.3820793354,-3.16611563209,10.5970814222
9.84,11.318915109,-3.15030700365,10.5935950895
9.86,11.256066358,-3.13456810186,10.5901197083
9.88,11.1935316899,-3.11889870769,10.5866552926
9.9,11.1313097168,-3.10329860184,10.5832018553
9.92,11.0693990551,-3.08776756473,10.5797594087
9.94,11.0077983257,-3.07230537656,10.5763279645
9.96,10.9465061537,-3.05691181727,10.5729075336
9.98,10.8855211689,-3.0415866666,10.5694981263
10,10.8248420052,-3.02632970407,10.5660997522
10.02,10.7644673011,-3.01114070902,10.5627124202
10.04,10.7043956994,-2.99601946062,10.5593361385
10.06,10.6446258474,-2.98096573785,10.5559709148
10.08,10.5851563968,-2.96597931955,10.5526167561
10.1,10.5259860038,-2.95105998443,10.5492736686
10.12,10.4671133288,-2.93620751106,10.5459416583
10.14,10.4085370369,-2.92142167789,10.5426207301
10.16,10.3502557975,-2.90670226329,10.5393108886
10.18,10.2922682844,-2.89204904552,10.5360121377
10.2,10.2345731759,-2.87746180276,10.5327244808
10.22,10.1771691548,-2.86294031315,10.5294479206
10.24,10.1200549081,-2.84848435474,10.5261824593
10.26,10.0632291275,-2.83409370555,10.5229280986
10.28,10.006690509,-2.81976814358,10.5196848394
10.3,9.95043775311,-2.80550744679,10.5164526824
10.32,9.89446956471,-2.79131139314,10.5132316274
10.34,9.83878465317,-2.77717976059,10.510021674
10.36,9.78338173229,-2.76311232711,10.5068228211
10.38,9.72825952032,-2.74910887069,10.503635067
10.4,9.67341673992,-2.73516916935,10.5004584098
10.42,9.61885211821,-2.72129300115,10.4972928466
10.44,9.56456438676,-2.70748014422,10.4941383745
10.46,9.51055228155,-2.69373037673,10.4909949899
10.48,9.45681454301,-2.68004347693,10.4878626887
10.5,9.40334991601,-2.66641922316,10.4847414663
10.52,9.35015714984,-2.65285739383,10.4816313177
10.54,9.29723499823,-2.63935776748,10.4785322374
10.56,9.24458221933,-2.62592012273,10.4754442196
10.58,9.19219757571,-2.61254423834,10.4723672578
10.6,9.1400798344,-2.59922989318,10.4693013451
10.62,9.08822776681,-2.58597686628,10.4662464744
10.64,9.03664014877,-2.57278493679,10.4632026379
10.66,8.98531576057,-2.55965388403,10.4601698276
10.68,8.93425338685,-2.54658348748,10.4571480348
10.7,8.88345181671,-2.53357352679,10.4541372507
10.72,8.83290984362,-2.52062378177,10.451137466
10.74,8.78262626548,-2.50773403245,10.4481486709
10.76,8.73259988457,-2.49490405904,10.4451708552
10.78,8.68282950756,-2.48213364193,10.4422040084
10.8,8.63331394552,-2.46942256176,10.4392481198
